"id";"title";"url";"logo";"city";"state";"character";"total_population";"normal_population";"older_population";"joining_date";"city_status_id";"city_status";"cycle";"related_actions";"older_rate";"normal_rate"
"1399";"Chillán";"/comunas-amigables/nuble/chill-n/";"http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Escudo_de_Chillán.svg/38px-Escudo_de_Chillán.svg.png";"Chillán";"Ñuble";"Urbano";"184.739";"152976";"31763";"1549335600";"2";"Diagnóstico realizado";"1er";"8";"17";"83"
"1172";"Marchihue";"/comunas-amigables/libertador-general-bernardo-ohiggins/marchihue/";"http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Former_coat_of_arms_of_Marchigüe,_Chile.jpg/38px-Former_coat_of_arms_of_Marchigüe,_Chile.jpg";"Marchihue";"Libertador General Bernardo O´Higgins";"Urbano";"7.308";"5681";"1627";"1554087600";"3";"Plan de Acción creado";"1er";"8";"22";"78"
"1352";"Peñalolén";"/comunas-amigables/metropolitana-de-santiago/pe-alol-n/";"http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Escudo_de_Peñalolén.svg/38px-Escudo_de_Peñalolén.svg.png";"Peñalolén";"Metropolitana de Santiago";"Urbano";"241.599";"205858";"35741";"1556596800";"3";"Plan de Acción creado";"1er";"6";"15";"85"
"1236";"Cabrero";"/comunas-amigables/biobio/cabrero/";"http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Escudo_de_Cabrero.svg/38px-Escudo_de_Cabrero.svg.png";"Cabrero";"Biobío";"Urbano";"28.573";"23720";"4853";"1603681200";"2";"Diagnóstico realizado";"1er";"4";"17";"83"
"1334";"Conchalí";"/comunas-amigables/metropolitana-de-santiago/conchali/";"http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Escudo_de_Conchalí.svg/38px-Escudo_de_Conchalí.svg.png";"Conchalí";"Metropolitana de Santiago";"Urbano";"126.955";"103515";"23440";"1553742000";"3";"Plan de Acción creado";"1er";"3";"18";"82"
"1370";"Buin";"/comunas-amigables/metropolitana-de-santiago/buin/";"http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Escudo_de_Buin.svg/49px-Escudo_de_Buin.svg.png";"Buin";"Metropolitana de Santiago";"Urbano";"96.614";"84267";"12347";"1586404800";"4";"Plan implementado";"1er";"3";"13";"87"
"1091";"Caldera";"/comunas-amigables/atacama/caldera/";"http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Caldera_logo.JPG/56px-Caldera_logo.JPG";"Caldera";"Atacama";"Urbano";"17.662";"14945";"2717";"1553482800";"2";"Diagnóstico realizado";"1er";"2";"15";"85"
"1223";"Santa Juana";"/comunas-amigables/biobio/santa-juana/";"http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Escudo_de_Santa_Juana.svg/38px-Escudo_de_Santa_Juana.svg.png";"Santa Juana";"Biobío";"Urbano";"13.749";"11011";"2738";"1554174000";"3";"Plan de Acción creado";"1er";"2";"20";"80"
"1173";"Navidad";"/comunas-amigables/libertador-general-bernardo-ohiggins/navidad/";"https://ciudadesamigables.cl/site/templates/dist/images/escudo-placeholder.svg";"Navidad";"Libertador General Bernardo O´Higgins";"Urbano";"6.641";"4782";"1859";"1563422400";"3";"Plan de Acción creado";"1er";"2";"28";"72"
"1297";"Quemchi";"/comunas-amigables/los-lagos/quemchi/";"http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Escudo_de_Quemchi.png/44px-Escudo_de_Quemchi.png";"Quemchi";"Los Lagos";"Urbano";"8.352";"6621";"1731";"1550026800";"3";"Plan de Acción creado";"1er";"2";"21";"79"
"1117";"Juan Fernández";"/comunas-amigables/valparaiso/juan-fern-ndez/";"http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Escudo_de_Juan_Fernández.svg/39px-Escudo_de_Juan_Fernández.svg.png";"Juan Fernández";"Valparaíso";"Urbano";"926";"790";"136";"1595217600";"3";"Plan de Acción creado";"1er";"2";"15";"85"
"1350";"Ñuñoa";"/comunas-amigables/metropolitana-de-santiago/u-oa/";"http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Escudo_de_Ñuñoa.svg/38px-Escudo_de_Ñuñoa.svg.png";"Ñuñoa";"Metropolitana de Santiago";"Urbano";"208.237";"167466";"40771";"1535511600";"3";"Plan de Acción creado";"1er";"1";"20";"80"
"1375";"Curacaví";"/comunas-amigables/metropolitana-de-santiago/curacav/";"/site/assets/files/1375/logo_curacavi.jpg";"Curacaví";"Metropolitana de Santiago";"Urbano";"32.579";"27100";"5479";"1577242800";"3";"Plan de Acción creado";"1er";"1";"17";"83"
"1342";"La Pintana";"/comunas-amigables/metropolitana-de-santiago/la-pintana/";"http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Escudo_de_La_Pintana.svg/38px-Escudo_de_La_Pintana.svg.png";"La Pintana";"Metropolitana de Santiago";"Urbano";"177.335";"152505";"24830";"1535598000";"3";"Plan de Acción creado";"1er";"1";"14";"86"
"1108";"Salamanca";"/comunas-amigables/coquimbo/salamanca/";"http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Escudo_de_Salamanca_(Chile).svg/38px-Escudo_de_Salamanca_(Chile).svg.png";"Salamanca";"Coquimbo";"Urbano";"29.347";"24180";"5167";"1569294000";"2";"Diagnóstico realizado";"1er";"1";"18";"82"
"1226";"Hualpén";"/comunas-amigables/biobio/hualp-n/";"http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Escudo_de_Hualpén.svg/60px-Escudo_de_Hualpén.svg.png";"Hualpén";"Biobío";"Urbano";"91.773";"75675";"16098";"1554868800";"2";"Diagnóstico realizado";"1er";"1";"18";"82"
"1360";"San Miguel";"/comunas-amigables/metropolitana-de-santiago/san-miguel/";"/site/assets/files/1360/logomunicipalidadsanmiguel.png";"San Miguel";"Metropolitana de Santiago";"Urbano";"107.954";"89154";"18800";"1535079600";"3";"Plan de Acción creado";"1er";"1";"17";"83"
"1232";"Los Álamos";"/comunas-amigables/biobio/los-lamos/";"http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Escudo_de_Los_Álamos.svg/38px-Escudo_de_Los_Álamos.svg.png";"Los Álamos";"Biobío";"Urbano";"21.035";"17801";"3234";"1554955200";"3";"Plan de Acción creado";"1er";"1";"15";"85"
